Display Name,Organization,Entity Type,Stance,Comment Letter
Flying J Trucking Service Center,Flying J Trucking Service Center,small_business,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Flying J Trucking Service Center
Organization: Flying J Trucking Service Center
Subject: Formal Comment on Proposed Rulemaking

As the owner of Flying J Trucking Service Center, a small business employing 14 people, I am deeply concerned about the practicalities of the proposed requirements.

Our analysis of the proposal highlights significant implications for compliance_cost, small_business_viability, operational_burden. Specifically, our ability to comply is affected by 14 employees across two service bays, customers need rapid turnaround, solvent alternatives may not meet cleaning standards. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting small fleet service facility exemptions, solvent transition assistance, and recognition that truck maintenance supports supply chain reliability. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Flying J Trucking Service Center"
"Tom Jackson, Volunteer Firefighter and Farmer",N/A,individual,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: Tom Jackson, Volunteer Firefighter and Farmer
Subject: Formal Comment on Proposed Rulemaking

As a corn and soybean farmer in rural Iowa living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, economic_impact. Specifically, our ability to comply is affected by no internet access for electronic reporting, multi-generational family farm viability concerns, equipment sharing with neighboring farms. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead draft a personal comment from a farmer opposing new agricultural reporting requirements, describing rural infrastructure limitations, and requesting paper-based compliance alternatives..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Tom Jackson, Volunteer Firefighter and Farmer"
Physicians for Social Responsibility,Physicians for Social Responsibility,professional,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Physicians for Social Responsibility
Organization: Physicians for Social Responsibility
Subject: Formal Comment on Proposed Rulemaking

As a physician advocacy for environmental health living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for public_health, environmental_protection, healthcare_costs. Specifically, our ability to comply is affected by medical evidence standards, physician credibility obligations, patient confidentiality in case examples. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency from a physician perspective documenting health impacts of pollution exposure in clinical practice, supporting the most protective health-based standards..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Physicians for Social Responsibility"
Freeport-McMoRan Inc.,Freeport-McMoRan Inc.,large_corporation,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: Freeport-McMoRan Inc.
Organization: Freeport-McMoRan Inc.
Subject: Formal Comment on Proposed Rulemaking

Freeport-McMoRan Inc., a global leader in copper and molybdenum mining operations, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, economic_impact, implementation_timeline. Specifically, our ability to comply is affected by arid climate water constraints, mine life cycle spanning decades, critical mineral supply for clean energy transition. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead arguing that copper mining supports clean energy transition, requesting critical mineral exemptions, and opposing standards that threaten domestic mineral supply..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Freeport-McMoRan Inc."
League of Conservation Voters,League of Conservation Voters,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: League of Conservation Voters
Organization: League of Conservation Voters
Subject: Formal Comment on Proposed Rulemaking

On behalf of League of Conservation Voters and our mission to support environmental scorecard for elected officials, electoral advocacy for pro-environment candidates, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for environmental_protection, climate_action, public_health. Specifically, our ability to comply is affected by bipartisan credibility requirements, electoral cycle timing considerations, coalition coordination with environmental groups. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting the rule as a critical step in environmental protection, noting broad public support for strong standards, and urging timely finalization..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

League of Conservation Voters"
West Virginia Department of Environmental Protection,West Virginia Department of Environmental Protection,government_agency,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: West Virginia Department of Environmental Protection
Organization: West Virginia Department of Environmental Protection
Subject: Formal Comment on Proposed Rulemaking

The West Virginia Department of Environmental Protection submits these comments to ensure federal standards are harmonized with state-level expertise and existing frameworks in coal mining permitting and reclamation oversight, oil and gas well regulation.

Our analysis of the proposal highlights significant implications for state_authority, economic_impact, implementation_timeline. Specifically, our ability to comply is affected by economic dependence on extractive industries, workforce transition challenges, legacy mining pollution remediation needs. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead opposing federal overreach into state mining authority, requesting economic impact analysis for coal-dependent communities, and demanding just transition funding..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

West Virginia Department of Environmental Protection"
"Dr. Linda Birnbaum, Former NIEHS Director",Duke University (Scholar in Residence),academic,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Dr. Linda Birnbaum, Former NIEHS Director
Organization: Duke University (Scholar in Residence)
Subject: Formal Comment on Proposed Rulemaking

As a researcher at Duke University (Scholar in Residence) specializing in PFAS and emerging contaminant toxicology, I am submitting this technical comment to ensure the agency's final decision is grounded in the most robust and current scientific data.

Our analysis of the proposal highlights significant implications for public_health, scientific_integrity, environmental_protection. Specifically, our ability to comply is affected by post-government service advisory limitations, scientific independence requirements, peer-review and scientific consensus standards. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency providing expert toxicological perspective on proposed contaminant limits, identifying gaps in the agency's health assessment, and supporting precautionary standards..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dr. Linda Birnbaum, Former NIEHS Director"
Pueblo Action Alliance,Pueblo Action Alliance,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Pueblo Action Alliance
Organization: Pueblo Action Alliance
Subject: Formal Comment on Proposed Rulemaking

On behalf of Pueblo Action Alliance and our mission to support Indigenous environmental justice in New Mexico, uranium mining legacy cleanup advocacy, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for environmental_justice, tribal_sovereignty, public_health. Specifically, our ability to comply is affected by tribal sovereignty and cultural preservation, intergenerational trauma from uranium contamination, limited organizational resources. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency demanding uranium legacy cleanup, free prior and informed consent for projects affecting tribal lands, and culturally appropriate health assessments..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Pueblo Action Alliance"
Consolidated Edison Inc.,Consolidated Edison Inc.,large_corporation,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Consolidated Edison Inc.
Organization: Consolidated Edison Inc.
Subject: Formal Comment on Proposed Rulemaking

Consolidated Edison Inc., a global leader in electric and gas utility service in New York City, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, energy_reliability, implementation_timeline. Specifically, our ability to comply is affected by dense urban operating environment, New York State climate mandates, aging infrastructure in constrained corridors. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting recognition of urban utility constraints, alignment with New York's Climate Act timelines, and cost recovery mechanisms for compliance investments. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Consolidated Edison Inc."
Association of State Drinking Water Administrators,Association of State Drinking Water Administrators,professional,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Association of State Drinking Water Administrators
Organization: Association of State Drinking Water Administrators
Subject: Formal Comment on Proposed Rulemaking

As a state drinking water program coordination living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for implementation_timeline, regulatory_alignment, public_health. Specifically, our ability to comply is affected by state primacy program requirements, small system compliance assistance obligations, analytical method availability for new contaminants. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting adequate implementation timelines for state drinking water programs, analytical method validation, and federal funding for small system compliance. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Association of State Drinking Water Administrators"
"Rosa Hernandez, Community Health Worker",N/A,individual,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Rosa Hernandez, Community Health Worker
Subject: Formal Comment on Proposed Rulemaking

As a promotora de salud in El Paso border community living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for environmental_justice, public_health, community_impact. Specifically, our ability to comply is affected by bilingual community needs, border region cross-boundary pollution, health disparities in underserved population. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency draft a personal comment describing border community health challenges, requesting bilingual outreach requirements, and supporting cross-boundary pollution protections..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Rosa Hernandez, Community Health Worker"
American Iron and Steel Institute,American Iron and Steel Institute,trade_association,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: American Iron and Steel Institute
Organization: American Iron and Steel Institute
Subject: Formal Comment on Proposed Rulemaking

The American Iron and Steel Institute represents a broad spectrum of interests in steel industry advocacy for domestic producers, trade enforcement and Buy America campaigns. We write today to share our perspectives on the proposed regulatory framework, emphasizing the need for a balance between environmental stewardship and economic viability.

Our analysis of the proposal highlights significant implications for compliance_cost, economic_impact, energy_reliability. Specifically, our ability to comply is affected by global steel overcapacity and unfair trade, carbon border adjustment policy needs, infrastructure steel demand projections. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead opposing emission standards that disadvantage domestic steel versus unregulated imports, requesting carbon border adjustments and trade enforcement..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

American Iron and Steel Institute"
"Dr. Michael Jerrett, Environmental Geographer",UCLA Fielding School of Public Health,academic,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Dr. Michael Jerrett, Environmental Geographer
Organization: UCLA Fielding School of Public Health
Subject: Formal Comment on Proposed Rulemaking

As a researcher at UCLA Fielding School of Public Health specializing in spatial analysis of pollution and health outcomes, I am submitting this technical comment to ensure the agency's final decision is grounded in the most robust and current scientific data.

Our analysis of the proposal highlights significant implications for public_health, scientific_integrity, environmental_justice. Specifically, our ability to comply is affected by geospatial data resolution limitations, interdisciplinary collaboration requirements, California-focused research context. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency providing spatial analysis evidence of pollution hotspots, recommending community-level monitoring requirements, and supporting environmental justice screening..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dr. Michael Jerrett, Environmental Geographer"
