display_name,organization,stance,comment_letter
Becton Dickinson and Company,"Becton, Dickinson and Company",concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Becton, Dickinson and Company appreciates the opportunity to provide these formal comments. As an entity engaged in medical device and diagnostic instrument manufacturing, syringe, needle, and infusion therapy products, microbiology and diagnostic specimen collection, our perspective is deeply informed by our operational environment, which includes essential medical supply chain obligations, single-use device reprocessing policy impacts, sterilization method regulatory requirements.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment opposing third-party single-use device reprocessing without equivalent safety standards, supporting ethylene oxide sterilization alternatives research, and requesting supply chain resilience provisions.

The proposed changes will directly impact our operations in the following areas: compliance_cost, operational_burden, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect compliance cost, operational burden, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Becton Dickinson and Company
Becton, Dickinson and Company"
Patient-Centered Outcomes Research Institute,Patient-Centered Outcomes Research Institute (PCORI),neutral,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Patient-Centered Outcomes Research Institute (PCORI) appreciates the opportunity to provide these formal comments. As an entity engaged in comparative effectiveness research funding, patient-centered clinical evidence generation, health care delivery research coordination, our perspective is deeply informed by our operational environment, which includes legislative mandate for patient-centeredness, prohibition on cost-effectiveness threshold recommendations, stakeholder engagement requirements.

We write today to wish to comment on the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting integration of patient-centered outcomes in FDA regulatory decisions, real-world evidence standards, and diverse patient population research requirements.

The proposed changes will directly impact our operations in the following areas: scientific_integrity, patient_access, clinical_practice. We urge the Agency to consider these factors, particularly how they affect scientific integrity, patient access, clinical practice, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Patient-Centered Outcomes Research Institute
Patient-Centered Outcomes Research Institute (PCORI)"
National Restaurant Association,National Restaurant Association,opposed,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

National Restaurant Association appreciates the opportunity to provide these formal comments. As an entity engaged in restaurant and food service industry advocacy for 1 million+ locations, food safety certification programs (ServSafe), menu labeling compliance coordination, our perspective is deeply informed by our operational environment, which includes high employee turnover in food service, menu calorie labeling for diverse restaurant formats, multi-jurisdictional regulatory compliance.

We write today to oppose the proposed regulatory framework. Our primary feedback is as follows: Draft a comment opposing expanded menu labeling requirements beyond current law, requesting flexibility for seasonal and daily specials, and supporting industry-led food safety training.

The proposed changes will directly impact our operations in the following areas: compliance_cost, operational_burden, economic_impact. We urge the Agency to consider these factors, particularly how they affect compliance cost, operational burden, economic impact, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

National Restaurant Association
National Restaurant Association"
American Society of Health-System Pharmacists,American Society of Health-System Pharmacists,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

American Society of Health-System Pharmacists appreciates the opportunity to provide these formal comments. As an entity engaged in hospital and health-system pharmacy practice standards, drug shortage management and advocacy, medication safety and sterile compounding standards, our perspective is deeply informed by our operational environment, which includes drug shortage impact on patient care, outsourcing facility quality concerns, pharmacy automation and technology validation.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting enhanced drug shortage prevention authority for FDA, outsourcing facility quality standards, and hospital pharmacy compounding flexibility.

The proposed changes will directly impact our operations in the following areas: patient_safety, clinical_practice, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect patient safety, clinical practice, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

American Society of Health-System Pharmacists
American Society of Health-System Pharmacists"
"Derek Johnson, Vape Shop Owner",Vapor Trail LLC,opposed,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Vapor Trail LLC appreciates the opportunity to provide these formal comments. As an entity engaged in retail vape and e-liquid sales, custom e-liquid mixing, smoking cessation counseling and product guidance, our perspective is deeply informed by our operational environment, which includes PMTA application costs prohibitive for small business, 4 employees in single retail location, inventory uncertainty from FDA enforcement actions.

We write today to oppose the proposed regulatory framework. Our primary feedback is as follows: Draft a comment opposing PMTA requirements for small vape retailers, requesting proportional regulation for small-batch e-liquids, and arguing for harm reduction over product bans.

The proposed changes will directly impact our operations in the following areas: small_business_viability, compliance_cost, economic_impact. We urge the Agency to consider these factors, particularly how they affect small business viability, compliance cost, economic impact, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Derek Johnson, Vape Shop Owner
Vapor Trail LLC"
Novo Nordisk Inc.,Novo Nordisk Inc.,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Novo Nordisk Inc. appreciates the opportunity to provide these formal comments. As an entity engaged in diabetes and obesity pharmaceutical manufacturing, insulin and GLP-1 receptor agonist production, rare disease enzyme replacement therapies, our perspective is deeply informed by our operational environment, which includes insulin pricing and access scrutiny, semaglutide supply and demand management, compounding pharmacy versions of GLP-1 drugs.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment opposing compounding of commercially available GLP-1 drugs, supporting insulin affordability programs, and requesting clear shortage determination criteria.

The proposed changes will directly impact our operations in the following areas: compliance_cost, patient_access, innovation_impact. We urge the Agency to consider these factors, particularly how they affect compliance cost, patient access, innovation impact, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Novo Nordisk Inc.
Novo Nordisk Inc."
Union of Concerned Scientists,Union of Concerned Scientists,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Union of Concerned Scientists appreciates the opportunity to provide these formal comments. As an entity engaged in science-based policy advocacy, antibiotic resistance in agriculture campaigns, scientific integrity in federal agencies, our perspective is deeply informed by our operational environment, which includes scientific evidence documentation standards, bipartisan credibility maintenance, multi-agency regulatory engagement.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting restrictions on medically important antibiotics in livestock, demanding scientific integrity in FDA advisory processes, and requesting transparent risk assessments.

The proposed changes will directly impact our operations in the following areas: public_health, scientific_integrity, environmental_protection. We urge the Agency to consider these factors, particularly how they affect public health, scientific integrity, environmental protection, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Union of Concerned Scientists
Union of Concerned Scientists"
"Dr. Rita Redberg, Cardiology and Device Safety Expert",University of California San Francisco School of Medicine,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

University of California San Francisco School of Medicine appreciates the opportunity to provide these formal comments. As an entity engaged in cardiovascular device safety evaluation, 510(k) pathway reform advocacy, JAMA Internal Medicine editorial leadership, our perspective is deeply informed by our operational environment, which includes academic editorial independence, device industry research funding transparency, patient safety evidence documentation.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment presenting evidence of 510(k) safety gaps, supporting clinical evidence requirements for moderate-to-high risk devices, and recommending post-market surveillance reforms.

The proposed changes will directly impact our operations in the following areas: patient_safety, scientific_integrity, regulatory_transparency. We urge the Agency to consider these factors, particularly how they affect patient safety, scientific integrity, regulatory transparency, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Dr. Rita Redberg, Cardiology and Device Safety Expert
University of California San Francisco School of Medicine"
Council for Responsible Nutrition,Council for Responsible Nutrition,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Council for Responsible Nutrition appreciates the opportunity to provide these formal comments. As an entity engaged in dietary supplement and functional food industry advocacy, supplement quality and manufacturing standards, mandatory product listing policy engagement, our perspective is deeply informed by our operational environment, which includes DSHEA framework preservation, mandatory product listing implementation logistics, international supplement regulatory harmonization.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting mandatory product listing with adequate implementation timelines, opposing pre-market approval, and requesting clear NDI notification guidance.

The proposed changes will directly impact our operations in the following areas: compliance_cost, implementation_timeline, innovation_impact. We urge the Agency to consider these factors, particularly how they affect compliance cost, implementation timeline, innovation impact, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Council for Responsible Nutrition
Council for Responsible Nutrition"
"Kevin O'Brien, Veteran with PTSD",,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Kevin O'Brien, Veteran with PTSD appreciates the opportunity to provide these formal comments. As an entity engaged in Iraq War veteran managing PTSD and chronic pain, VA healthcare system patient, medical cannabis and psychedelic therapy advocate, our perspective is deeply informed by our operational environment, which includes limited FDA-approved PTSD treatment options, VA formulary restrictions, stigma around mental health treatment in veteran community.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a personal comment supporting FDA pathways for MDMA-assisted therapy and psilocybin, expanded PTSD treatment research, and veteran-inclusive clinical trial design.

The proposed changes will directly impact our operations in the following areas: patient_access, patient_safety, quality_of_life. We urge the Agency to consider these factors, particularly how they affect patient access, patient safety, quality of life, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Kevin O'Brien, Veteran with PTSD
Kevin O'Brien, Veteran with PTSD"
American Association for Clinical Chemistry,American Association for Clinical Chemistry,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

American Association for Clinical Chemistry appreciates the opportunity to provide these formal comments. As an entity engaged in clinical laboratory science professional development, laboratory-developed test quality standards, diagnostic testing policy and reimbursement advocacy, our perspective is deeply informed by our operational environment, which includes LDT regulatory framework impact on clinical labs, laboratory staffing shortage, test validation and proficiency testing standards.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting phased LDT oversight implementation, risk-based regulation proportional to test complexity, and recognition of clinical laboratory expertise in test validation.

The proposed changes will directly impact our operations in the following areas: compliance_cost, implementation_timeline, innovation_impact. We urge the Agency to consider these factors, particularly how they affect compliance cost, implementation timeline, innovation impact, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

American Association for Clinical Chemistry
American Association for Clinical Chemistry"
Thermo Fisher Scientific,Thermo Fisher Scientific Inc.,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Thermo Fisher Scientific Inc. appreciates the opportunity to provide these formal comments. As an entity engaged in laboratory instruments and diagnostic reagent manufacturing, pharmaceutical services and clinical trial supply, genetic analysis and applied biosystems platforms, our perspective is deeply informed by our operational environment, which includes diverse product portfolio across regulated and non-regulated instruments, pharma services GMP compliance requirements, LDT regulation impact on laboratory customers.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting clear regulatory boundaries between laboratory instruments and IVDs, phased LDT oversight, and recognition of analytical validation standards.

The proposed changes will directly impact our operations in the following areas: compliance_cost, innovation_impact, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect compliance cost, innovation impact, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Thermo Fisher Scientific
Thermo Fisher Scientific Inc."
Healthy Babies Bright Futures,Healthy Babies Bright Futures,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Healthy Babies Bright Futures appreciates the opportunity to provide these formal comments. As an entity engaged in baby food heavy metal contamination advocacy, children's food safety research and testing, corporate and regulatory accountability campaigns, our perspective is deeply informed by our operational environment, which includes infant vulnerability to toxic exposure, limited FDA enforcement resources for baby food, voluntary industry commitment tracking.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting mandatory heavy metal limits in baby food, opposing voluntary industry guidelines as insufficient, and urging FDA enforcement action on contaminated products.

The proposed changes will directly impact our operations in the following areas: patient_safety, public_health, consumer_protection. We urge the Agency to consider these factors, particularly how they affect patient safety, public health, consumer protection, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Healthy Babies Bright Futures
Healthy Babies Bright Futures"
"Sun Woo Lee, Compounding Pharmacist",,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Sun Woo Lee, Compounding Pharmacist appreciates the opportunity to provide these formal comments. As an entity engaged in owner of specialty compounding pharmacy, prepares customized pediatric and dermatological formulations, serves patients with commercial drug allergies or intolerances, our perspective is deeply informed by our operational environment, which includes 503A vs 503B regulatory distinction compliance, USP <797> and <800> sterile compounding standards, increasing FDA scrutiny of compounding practice.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a personal comment defending traditional compounding pharmacy practice, requesting clear 503A compliance guidance, and arguing compounding fills gaps in commercial drug availability.

The proposed changes will directly impact our operations in the following areas: compliance_cost, small_business_viability, patient_access. We urge the Agency to consider these factors, particularly how they affect compliance cost, small business viability, patient access, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Sun Woo Lee, Compounding Pharmacist
Sun Woo Lee, Compounding Pharmacist"
