Display Name,Organization,Stance,Comment Letter
American Logistics Aid Network,American Logistics Aid Network,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - American Logistics Aid Network

On behalf of American Logistics Aid Network, an organization dedicated to disaster relief supply chain coordination, emergency freight transportation during natural disasters, we submit these comments to ensure that public safety remains the paramount consideration in this rulemaking process.

Our perspective is informed by several critical operational constraints, including disaster response requires immediate HOS exemptions, emergency declaration process delays, volunteer driver and carrier coordination. Furthermore, we anticipate that the proposed changes will significantly impact public safety, operational burden, implementation timeline.

Based on these considerations, we strongly recommend the following: Supporting streamlined emergency HOS exemption processes, pre-positioned disaster relief carrier registries, and expanded regional emergency declarations.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

American Logistics Aid Network
American Logistics Aid Network"
National Association of City Transportation Officials,National Association of City Transportation Officials,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Association of City Transportation Officials

I am writing as an individual with significant experience in urban freight delivery and truck routing policy to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including urban pedestrian and cyclist safety conflicts with trucks, last-mile delivery truck proliferation in cities, municipal authority over truck routing vs. federal preemption. Furthermore, we anticipate that the proposed changes will significantly impact public safety, community impact, regulatory alignment.

Based on these considerations, we strongly recommend the following: Supporting urban truck safety technology requirements, side guard mandates for urban delivery trucks, and municipal authority for local truck safety standards.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Association of City Transportation Officials
National Association of City Transportation Officials"
Society of Automotive Engineers International,SAE International,Neutral,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - SAE International

I am writing as an individual with significant experience in commercial vehicle engineering standards development to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including consensus-based standards development process, global engineering harmonization needs, technology-neutral standards approach. Furthermore, we anticipate that the proposed changes will significantly impact innovation impact, regulatory alignment, scientific integrity.

Based on these considerations, we strongly recommend the following: Draft a technically objective comment recommending performance-based safety standards referencing SAE specifications, supporting technology-neutral regulatory approaches, and offering standards development expertise.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Society of Automotive Engineers International
SAE International"
Ryder System Inc.,Ryder System Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Ryder System Inc.

Ryder System Inc. operates extensive networks involving commercial truck leasing and fleet management, dedicated transportation and supply chain solutions. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including fleet management for thousands of customer operations, vehicle maintenance responsibility for leased trucks, multi-customer compliance coordination. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, regulatory alignment.

Based on these considerations, we strongly recommend the following: Requesting clear fleet management company compliance obligations, supporting technology-enabled maintenance compliance, and requesting leasing industry regulatory guidance.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Ryder System Inc.
Ryder System Inc."
National Propane Gas Association,National Propane Gas Association,Opposed,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Propane Gas Association

The National Propane Gas Association represents a vital sector of the transportation industry, specifically focused on propane delivery industry advocacy, hazmat bobtail truck operations for residential delivery. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including winter heating emergencies require extended driver hours, rural propane delivery routes with long distances, bobtail truck HOS compliance for short deliveries. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, public safety.

Based on these considerations, we strongly recommend the following: Supporting propane delivery HOS exemptions during winter heating emergencies, rural delivery flexibility, and recognition of essential energy delivery services.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Propane Gas Association
National Propane Gas Association"
Aurora Innovation Inc.,Aurora Innovation Inc.,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Aurora Innovation Inc.

Aurora Innovation Inc. operates extensive networks involving Level 4 autonomous trucking technology development, Aurora Driver self-driving system for Class 8 trucks. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including federal vs. state autonomous vehicle regulatory patchwork, FMCSA exemption process for driverless CMV operations, safety case and performance validation methodology. Furthermore, we anticipate that the proposed changes will significantly impact innovation impact, regulatory alignment, public safety.

Based on these considerations, we strongly recommend the following: Supporting a national autonomous CMV regulatory framework, requesting clear driverless truck exemption criteria, and proposing safety performance metrics for ADS operations.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Aurora Innovation Inc.
Aurora Innovation Inc."
United Motorcoach Association,United Motorcoach Association,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - United Motorcoach Association

The United Motorcoach Association represents a vital sector of the transportation industry, specifically focused on charter and tour motorcoach industry advocacy, small motorcoach operator support and compliance. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including 80% of members operate 10 or fewer coaches, post-COVID industry financial recovery, FMCSA safety fitness determination for small operators. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, small business viability, public safety.

Based on these considerations, we strongly recommend the following: Requesting proportional safety compliance for small motorcoach operators, COVID recovery regulatory relief, and passenger carrier-specific safety technology funding.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

United Motorcoach Association
United Motorcoach Association"
American Trucking Associations Technology & Maintenance Council,ATA Technology & Maintenance Council,Neutral,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - ATA Technology & Maintenance Council

I am writing as an individual with significant experience in fleet maintenance practice standards development to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including voluntary recommended practice development process, diverse fleet maintenance capability spectrum, technology standardization across OEMs. Furthermore, we anticipate that the proposed changes will significantly impact regulatory alignment, innovation impact, public safety.

Based on these considerations, we strongly recommend the following: Draft a technically objective comment providing fleet maintenance practice standards perspective, recommending inspection criteria updates, and supporting technology-enabled maintenance compliance.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

American Trucking Associations Technology & Maintenance Council
ATA Technology & Maintenance Council"
Ben's Towing & Recovery,Ben's Towing & Recovery LLC,Opposed,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Ben's Towing & Recovery LLC

As a small business owner operating in the heavy-duty towing and accident recovery space, I am writing to share how the proposed rules will directly impact my company's daily operations and long-term viability.

Our perspective is informed by several critical operational constraints, including emergency response nature of towing operations, unpredictable call timing disrupts HOS compliance, CMV regulations applied to tow trucks over 26,001 lbs. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, small business viability, operational burden.

Based on these considerations, we strongly recommend the following: Requesting tow truck and recovery vehicle HOS exemptions for emergency response, supporting the utility exception, and describing operational impossibility of standard HOS compliance.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Ben's Towing & Recovery
Ben's Towing & Recovery LLC"
National Asphalt Pavement Association,National Asphalt Pavement Association,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Asphalt Pavement Association

The National Asphalt Pavement Association represents a vital sector of the transportation industry, specifically focused on asphalt paving contractor transportation advocacy, hot-mix asphalt delivery truck operations. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including asphalt must be delivered hot within time window, paving operations run 14-16 hours during construction season, construction zone safety adds complexity. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, economic impact.

Based on these considerations, we strongly recommend the following: Requesting construction industry HOS exemptions for asphalt delivery, recognition of perishable material delivery urgency, and construction season flexibility.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Asphalt Pavement Association
National Asphalt Pavement Association"
National Council of State Legislatures Transportation Committee,National Conference of State Legislatures,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Conference of State Legislatures

I am writing as an individual with significant experience in state legislative policy coordination on transportation to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including state sovereignty and 10th Amendment considerations, federal preemption of state trucking regulations, state legislature session timing for regulatory alignment. Furthermore, we anticipate that the proposed changes will significantly impact state authority, regulatory alignment, implementation timeline.

Based on these considerations, we strongly recommend the following: Requesting preservation of state regulatory authority, adequate state implementation timelines for federal mandates, and federal-state regulatory consultation processes.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Council of State Legislatures Transportation Committee
National Conference of State Legislatures"
Trucking Alliance,Trucking Alliance,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Trucking Alliance

On behalf of Trucking Alliance, an organization dedicated to large carrier coalition supporting stricter safety regulations, hair testing for drug screening advocacy, we submit these comments to ensure that public safety remains the paramount consideration in this rulemaking process.

Our perspective is informed by several critical operational constraints, including member carriers (J.B. Hunt, Werner, Schneider, etc.) have invested in safety, competitive disadvantage from non-compliant carriers, industry credibility in supporting regulation. Furthermore, we anticipate that the proposed changes will significantly impact public safety, regulatory enforcement, driver qualification.

Based on these considerations, we strongly recommend the following: From large carriers supporting mandatory hair drug testing, speed limiters, and FMCSA enforcement against unsafe carriers that undercut safety-focused companies.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Trucking Alliance
Trucking Alliance"
"Dr. Daniel Mollicone, Fatigue Monitoring Technology Researcher",Pulsar Informatics Inc. / University of Pennsylvania,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Pulsar Informatics Inc. / University of Pennsylvania

As a researcher at Pulsar Informatics Inc. / University of Pennsylvania specializing in fatigue risk management system algorithm development, I am providing this technical assessment to assist the FMCSA in grounding its final rule in robust, peer-reviewed evidence.

Our perspective is informed by several critical operational constraints, including model validation with real-world operational data, individual variability in fatigue response, technology adoption barriers in trucking. Furthermore, we anticipate that the proposed changes will significantly impact innovation impact, public safety, scientific integrity.

Based on these considerations, we strongly recommend the following: Draft a technical comment supporting fatigue risk management systems as HOS alternatives, presenting validation data for fatigue monitoring technology, and recommending performance-based fatigue standards.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Dr. Daniel Mollicone, Fatigue Monitoring Technology Researcher
Pulsar Informatics Inc. / University of Pennsylvania"
"Sarah Jenkins, Truck Crash Survivor",,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - None

I am writing as an individual with significant experience in passenger vehicle driver rear-ended by tractor-trailer to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including ongoing medical treatment and disability, legal proceedings limiting some public comment, personal experience driving advocacy. Furthermore, we anticipate that the proposed changes will significantly impact public safety, crash reduction, quality of life.

Based on these considerations, we strongly recommend the following: Draft a powerful personal comment describing truck crash injuries, supporting underride guards, automatic emergency braking, and opposing any safety regulation rollbacks.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Sarah Jenkins, Truck Crash Survivor
None"
Penske Truck Leasing,Penske Truck Leasing Co. L.P.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Penske Truck Leasing Co. L.P.

Penske Truck Leasing Co. L.P. operates extensive networks involving commercial truck leasing and consumer truck rental, fleet maintenance and management services. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including consumer truck rental CDL threshold applicability, safety technology standardization across leased fleet, multi-customer maintenance compliance coordination. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, regulatory alignment, operational burden.

Based on these considerations, we strongly recommend the following: Requesting clear regulatory guidance for leasing companies, consumer rental truck safety requirements, and technology retrofit requirements for leased fleet vehicles.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Penske Truck Leasing
Penske Truck Leasing Co. L.P."
National Livestock Producers Association,National Livestock Producers Association,Opposed,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Livestock Producers Association

The National Livestock Producers Association represents a vital sector of the transportation industry, specifically focused on livestock hauling industry advocacy, animal welfare and transportation coordination. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including live animal welfare requires timely transport, livestock cannot be parked and left unattended during rest breaks, seasonal livestock movement patterns. Furthermore, we anticipate that the proposed changes will significantly impact operational burden, economic impact, compliance cost.

Based on these considerations, we strongly recommend the following: Supporting livestock hauler HOS exemptions, citing animal welfare concerns with extended transit times, and opposing restrictions that endanger live cargo.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Livestock Producers Association
National Livestock Producers Association"
Women In Trucking Association,Women In Trucking Association,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Women In Trucking Association

On behalf of Women In Trucking Association, an organization dedicated to female truck driver recruitment and retention advocacy, truck cab ergonomics and safety equipment for women, we submit these comments to ensure that public safety remains the paramount consideration in this rulemaking process.

Our perspective is informed by several critical operational constraints, including women represent only 13% of truck drivers, truck stop and rest area safety concerns for women, equipment designed for average male driver ergonomics. Furthermore, we anticipate that the proposed changes will significantly impact driver retention, driver health, public safety.

Based on these considerations, we strongly recommend the following: Supporting safe truck parking requirements, equipment ergonomic standards accommodating female drivers, and harassment prevention in CMV workplace.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Women In Trucking Association
Women In Trucking Association"
"Dr. Richard Hanowski, Transportation Safety Technology Expert",Virginia Tech Transportation Institute,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Virginia Tech Transportation Institute

As a researcher at Virginia Tech Transportation Institute specializing in onboard safety monitoring system evaluation, I am providing this technical assessment to assist the FMCSA in grounding its final rule in robust, peer-reviewed evidence.

Our perspective is informed by several critical operational constraints, including technology effectiveness measurement standards, driver privacy vs. safety monitoring balance, industry adoption rate and readiness assessment. Furthermore, we anticipate that the proposed changes will significantly impact innovation impact, public safety, scientific integrity.

Based on these considerations, we strongly recommend the following: Draft a technical comment presenting evidence on onboard safety system effectiveness, supporting camera and sensor technology mandates, and recommending driver monitoring privacy standards.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Dr. Richard Hanowski, Transportation Safety Technology Expert
Virginia Tech Transportation Institute"
"Eddie Martinez, Intermodal Drayage Driver",,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - None

I am writing as an individual with significant experience in container drayage from Port of Long Beach to warehouses to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including port turn times of 3-5 hours burn HOS clock, chassis shortages and container availability waits, emissions compliance costs for CARB drayage rules. Furthermore, we anticipate that the proposed changes will significantly impact economic impact, operational burden, driver autonomy.

Based on these considerations, we strongly recommend the following: Requesting port detention time exclusion from HOS, describing drayage driver financial impacts from port congestion, and supporting port efficiency mandates.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Eddie Martinez, Intermodal Drayage Driver
None"
Association of Waste Haulers of Greater Chicago,Association of Waste Haulers of Greater Chicago,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Association of Waste Haulers of Greater Chicago

As a small business owner operating in the local waste collection companies in Chicago metro area space, I am writing to share how the proposed rules will directly impact my company's daily operations and long-term viability.

Our perspective is informed by several critical operational constraints, including municipalities set collection time windows, frequent-stop routes with hundreds of stops per day, driver fatigue from early morning starts. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, small business viability.

Based on these considerations, we strongly recommend the following: Requesting refuse collection vehicle exemptions from HOS, supporting short-haul exception for waste haulers, and describing operational incompatibility with standard HOS rules.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Association of Waste Haulers of Greater Chicago
Association of Waste Haulers of Greater Chicago"
American Automobile Association (AAA),American Automobile Association,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - American Automobile Association

On behalf of American Automobile Association, an organization dedicated to motorist safety and roadside assistance services, highway safety advocacy and research, we submit these comments to ensure that public safety remains the paramount consideration in this rulemaking process.

Our perspective is informed by several critical operational constraints, including 60+ million member motorist perspective, shared roadway safety with commercial vehicles, travel industry economic considerations. Furthermore, we anticipate that the proposed changes will significantly impact public safety, crash reduction, community impact.

Based on these considerations, we strongly recommend the following: From the motorist perspective supporting truck safety technology mandates, adequate truck parking to reduce roadside hazards, and driver training improvements.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

American Automobile Association (AAA)
American Automobile Association"
